size,Triton,Torch
4096.000000,6.857143,6.857143
8192.000000,15.999999,15.999999
16384.000000,27.428571,27.428571
32768.000000,54.857142,55.103140
65536.000000,96.000000,96.000000
131072.000000,153.600004,153.600004
262144.000000,219.428568,219.428568
524288.000000,292.571431,267.130429
1048576.000000,307.200008,299.707322
2097152.000000,341.333321,341.333321
4194304.000000,351.124902,358.773735
8388608.000000,369.563926,366.805965
16777216.000000,378.092307,375.923501
33554432.000000,384.751474,382.878279
67108864.000000,387.786968,385.317013
134217728.000000,390.482628,388.697419
